주문ID,주문일,지역센터,유입채널,고객군,상품군,담당자,상태,결제금액,할인금액,처리시간,만족도,캠페인,비고
ORD-260401,2026-04-02,서울 / 강남,검색,신규,정기 리포트,김서윤,완료,420000,30000,32,5,SPRING-A,정상
ORD-260402,2026-04-05,서울 / 종로,추천,기존,대시보드,박하린,완료,680000,50000,41,4,SPRING-A,업셀
ORD-260403,2026-04-09,부산 / 해운대,SNS,신규,자동화 설계,이도윤,완료,910000,70000,57,5,SPRING-B,긴급
ORD-260404,2026-04-12,대전 / 둔산,파트너,공공,데이터 정제,최유진,완료,530000,0,48,4,GOV-Q2,계약서
ORD-260405,2026-04-18,광주 / 상무,검색,기존,정기 리포트,정민아,취소,240000,20000,18,2,SPRING-A,고객취소
ORD-260406,2026-04-22,서울 / 강남,이메일,VIP,대시보드,김서윤,완 료,1250000,100000,63,5,VIP-Q2,재구매
ORD-260407,2026-05-03,인천 / 송도,SNS, 신규 ,자동화 설계,,완료,760000,60000,71,4,SPRING-B,담당자누락
ORD-260408,2026-05-09,부산 / 서면,검색,기존,데이터 정제,박하린,완료,390000,30000,39,4,SEARCH-Q2,정상
ORD-260409,2026-05-13,대구 / 수성,추천,VIP,대시보드,이도윤,완료,1480000,80000,52,5,VIP-Q2,추천확장
ORD-260410,2026-05-19,제주 / 노형,파트너,공공,정기 리포트,최유진,보류,610000,0,96,3,GOV-Q2,승인지연
ORD-260411,2026-05-25,서울 / 종로,SNS,신규,데이터 정제,정민아,완료,310000,25000,44,4,SPRING-B,정상
ORD-260412,2026-06-01,대전 / 둔산,이메일,기존,자동화 설계,김서윤,완료,840000,45000,59,5,RET-Q2,재활성
ORD-260413,2026-06-08,광주 / 상무,검색, 신규,대시보드,박하린,취소,470000,30000,21,2,SEARCH-Q2,중복문의
ORD-260414,2026-06-15,인천 / 송도,추천,VIP,정기 리포트,이도윤,완료,990000,0,36,5,VIP-Q2,연간전환
ORD-260415,2026-06-27,부산 / 해운대,파트너,공공,자동화 설계,최유진,완료,1120000,120000,84,4,GOV-Q2,대량처리
